E00121:9:H00UWALXX:7:1118:14712:64563	1000620	1000668	48
E00125:9:H05MEALXX:7:1119:7648:70610	1000567	1000669	102
E00121:9:H00UWALXX:7:1109:10835:66321	1000591	1000670	79
E00125:9:H05MEALXX:7:2207:12053:2539	1000600	1000671	71
E00170:22:H00WVALXX:1:1115:14966:42640	1000504	1000675	171
E00170:22:H00WVALXX:1:1212:31896:26466	1000642	1000676	34
E00170:22:H00WVALXX:1:1212:32120:26079	1000643	1000677	34
E00170:22:H00WVALXX:1:2216:19513:4350	1000644	1000678	34
E00170:22:H00WVALXX:1:1108:13444:9659	1000615	1000679	64
E00170:22:H00WVALXX:1:2216:8785:16076	1000618	1000680	62
E00170:22:H00WVALXX:1:2108:9160:19293	1000579	1000685	106
E00170:22:H00WVALXX:1:1109:1710:52098	1000596	1000687	91
E00170:22:H00WVALXX:1:2109:22670:62840	1000631	1000692	61
E00170:22:H00WVALXX:1:2210:17108:25675	1000640	1000694	54
E00121:9:H00UWALXX:7:1119:14124:21139	1000617	1000697	80
E00170:22:H00WVALXX:1:2105:25695:58128	1000565	1000698	133
E00170:22:H00WVALXX:1:2120:10104:27960	1000566	1000700	134
E00170:22:H00WVALXX:1:2204:3953:40302	1000606	1000701	95
E00125:9:H05MEALXX:7:2223:5050:26660	1000595	1000702	107
E00121:9:H00UWALXX:7:1104:13779:60765	1000625	1000703	78
E00125:9:H05MEALXX:7:2202:24872:49110	1000656	1000704	48
E00170:22:H00WVALXX:1:1116:29521:32619	1000619	1000705	86
E00121:9:H00UWALXX:7:1121:18184:44310	1000611	1000706	95
E00170:22:H00WVALXX:1:2220:13839:22897	1000613	1000707	94
E00170:22:H00WVALXX:1:1103:27511:36170	1000688	1000713	25
E00170:22:H00WVALXX:1:1103:27532:36206	1000689	1000714	25
E00170:22:H00WVALXX:1:1103:27562:36188	1000690	1000715	25
E00170:22:H00WVALXX:1:1103:27583:36188	1000691	1000716	25
E00170:22:H00WVALXX:1:2112:20203:51782	1000645	1000723	78
E00170:22:H00WVALXX:1:2220:13048:7145	1000641	1000724	83
E00170:22:H00WVALXX:1:1120:19371:71648	1000663	1000728	65
E00170:22:H00WVALXX:1:1120:19381:71665	1000664	1000729	65
E00170:22:H00WVALXX:1:1110:31176:23952	1000612	1000731	119
E00170:22:H00WVALXX:1:1208:30607:17729	1000608	1000732	124
E00125:9:H05MEALXX:7:2117:23005:16586	1000632	1000733	101
E00125:9:H05MEALXX:7:1118:30364:5001	1000672	1000739	67
E00170:22:H00WVALXX:1:2112:13423:9343	1000623	1000741	118
E00170:22:H00WVALXX:1:2214:8734:6917	1000660	1000747	87
E00125:9:H05MEALXX:7:2206:10246:32426	1000657	1000748	91
E00170:22:H00WVALXX:1:2207:19615:13246	1000628	1000749	121
E00121:9:H00UWALXX:7:1112:15910:12806	1000684	1000752	68
E00170:22:H00WVALXX:1:1207:30475:60326	1000673	1000756	83
E00170:22:H00WVALXX:1:1207:30485:60308	1000674	1000757	83
E00170:22:H00WVALXX:1:2117:9353:49198	1000699	1000758	59
E00170:22:H00WVALXX:1:2201:25350:9888	1000652	1000759	107
E00170:22:H00WVALXX:1:1107:28932:14090	1000717	1000760	43
E00170:22:H00WVALXX:1:1107:28983:14037	1000718	1000761	43
E00170:22:H00WVALXX:1:2216:28669:51852	1000719	1000762	43
E00170:22:H00WVALXX:1:2214:7293:28330	1000682	1000763	81
E00125:9:H05MEALXX:7:2215:26243:57495	1000709	1000764	55
E00170:22:H00WVALXX:1:2214:12307:63104	1000710	1000765	55
